	ZJTKAE3	ZJXC41N	ZK112BX	ZK4CK8Y
LV321	-3.334039575	-2.038669447	-3.862218895	-1.518190678
HV169	-3.846489833	-3.936487533	-4.662125368	-1.980648556
HV146	-3.494320833	-3.744574267	-3.174276579	-3.344365667
HV348	-2.37870325	-1.150005567	-1.815010895	-1.573838
HV323	-0.308883945	-1.110567927	-0.272485955	0.233049409
HV313	-1.194859433	-0.343948559	-0.606754122	-1.330642478
HV353	-0.842159425	-1.116792393	-1.378255021	-2.0467284
HV330	-1.924083	-3.115175733	-2.586567053	-2.425631778
HV333	-4.446977083	-3.283703867	-3.375350684	-3.676814111
HV333_2	-1.745655	-2.321558933	-1.178282237	-1.953679444
HV330_2	-2.659652167	-3.014025467	-4.047365474	-2.774430667
HV307	-1.218837742	0.245373787	-0.735561523	-0.023032956
HV307_2	1.84549625	2.926624507	3.239886789	2.106502333
HV439	-2.33526375	-2.232099247	-1.992038974	-2.984707
PIGR	-4.865693667	-3.873827467	-4.632934895	-4.052923111
IGKC	6.428196167	6.7419592	5.919474474	5.961956333
IGHG1	6.784477583	6.8923814	6.273147842	5.678457111
IGHG2	4.632415667	5.709722467	5.467233558	5.034089889
IGHG3	-0.963859333	-0.17673664	-0.585007132	-0.246387747
IGHG4	2.933360583	-4.27887524	1.348310779	0.429303357
IGHM	4.8997425	5.743275467	5.773971105	5.253103
IGHA1	6.320993833	6.330253533	4.835302105	5.190909
IGHA2	0.461340117	0.715898389	-3.378597032	-0.705862433
IGHD	-5.354581667	-1.198517899	-0.285588318	-1.735408922
HBD	-3.16440725	-3.221058333	-2.989397737	-3.130250111
APOA1	8.4305685	8.571081267	8.045905632	9.179803778
APOE	5.204103417	4.399630333	4.753155421	4.009696778
APOA2	3.945462583	4.5649178	4.388082632	4.178975778
APOC1	1.004077525	0.894432179	0.976043023	0.913505744
APOC2	2.55834225	1.696040223	1.526979921	1.151005956
APOC3	4.150675	4.722064867	4.743841421	5.049624333
FGA	9.417722917	9.4742016	9.173832947	9.044686778
FGB	9.245061583	9.116323867	8.914155	8.857929222
FGG	8.16810175	8.085344533	7.984008684	7.862407889
APCS	-2.067794667	-2.5545794	-2.365625842	-1.719860778
C1QA	2.190819667	2.281582733	2.494333263	1.947455111
C1QB	0.785557258	0.61122988	1.076399421	0.404384311
C1QC	1.96117175	2.115516	2.270916421	1.5527
C9	2.474710583	2.398543067	1.868768405	1.761754556
APOH	3.928908667	3.736485	3.886114579	3.542717444
LRG1	3.160887583	3.387059733	2.640846063	3.125700222
FN1	6.50851775	6.208530933	6.182239053	5.71745
RBP4	1.826310833	1.27030246	1.5752827	1.749942831
AMBP	3.314033333	3.043799133	3.136431895	3.000937111
ORM1	6.3536945	6.7941902	5.600622105	5.504913778
AHSG	5.260952917	5.149047933	5.248095421	4.506882667
TTR	-1.579683639	-0.198332233	-0.027488198	-0.459035099
ALB	11.12249167	11.23865293	11.15024579	11.40154444
GC	5.866574333	5.832090333	5.670366632	5.978286222
PPBP	-0.483299475	-2.155749727	-1.741698479	-0.891617189
PF4	-1.524840988	-2.829291733	-2.815456211	-1.690367978
TFRC	-2.457855083	-1.442823027	-2.132165842	-2.532414
TF	9.3413845	9.0956178	9.335437	9.241820333
HPX	6.724853	6.4097552	6.557615737	6.465358111
F11	-1.3058769	-1.393365593	-1.943355221	-1.388302878
KLKB1	2.457715167	2.357753333	2.256003579	2.218878444
C4BPA	3.203730667	3.721720667	2.744578163	2.758064444
VTN	4.90862625	4.8081814	4.886019684	4.603008
PROC	-2.82707675	-3.398651267	-3.052167158	-2.194743133
APOB	5.55270475	5.524630333	5.648961526	5.725521667
LCAT	-0.759126303	-0.884110407	-0.951818816	-0.940050033
HRG	3.623639333	3.435117333	4.003484368	3.307002556
KV320.1	-3.703219583	-3.920567867	-3.339511	-4.043719889
KV315	2.069910083	2.919446667	2.3788075	2.197359111
LV743	0.026602282	1.522897067	1.678847989	-0.627649769
A1BG	5.062866417	4.798665333	5.126714	4.935103333
IGHM.1	-0.010569458	1.573580213	-0.540479879	1.893980533
VWF	0.273767383	0.737699787	0.527608058	-0.3542136
SHBG	-0.857894608	-0.908775367	-1.838664084	1.5231748
GAPDH	-4.038928125	-4.667526667	-4.005418416	-4.472267222
KV116	-2.206290857	-2.577339673	-2.442102063	-2.594114444
KV311	3.636988	2.844935133	2.542711	2.720751333
KV310	-4.65489575	-2.58932184	-3.917417868	-4.995066333
HV270	-2.43191225	-2.19783772	-4.552193526	-1.707727778
APOD	3.791745583	3.694355	2.997432053	3.559648889
SERPINA5	-5.164536567	-1.822503027	-2.715537249	-5.410991689
SERPING1	3.038831417	4.2696134	3.953493158	2.640346889
CFI	1.9987185	1.885555013	1.9604331	1.404855333
F13B	0.114476073	0.395524736	-0.469575606	0.711112411
CLEC3B	-1.408349458	-1.03190932	-1.030728263	-0.9499088
SERPINA7	-0.552000342	-0.227096437	-0.312258268	-0.295544102
SERPIND1	3.276290167	3.251276267	3.065792789	3.387546444
BCHE	-1.140840775	-1.574465747	-0.944948947	-2.020610889
KV230	-0.8616847	0.16571314	0.597613958	-0.503663809
KV320.2	-5.71058425	-4.131366333	-5.575482	-5.971266556
LV151	-1.648916117	-0.643372365	-0.695202068	-2.799440556
LV657	-5.658609083	-3.388889	-2.399331526	-2.955785444
LV657_2	-4.26331875	-3.022066533	-2.013843374	-2.507468222
HV434	-3.46439675	-2.149014347	-3.404417842	-2.970240667
GSN	3.0712195	3.281464733	2.960964684	2.884262222
C2	2.353954833	2.3468496	2.085850526	2.144504889
APOA4	5.313472833	4.396193933	4.779986684	5.006297667
ENO1	1.114523575	0.407746127	0.6803611	0.656304114
LDHB	-1.06534455	-1.770602686	-0.959704205	-0.390131189
PROS1	2.02686975	1.913978867	1.889708105	1.661622333
C8A	2.135309075	1.729194673	1.619395468	1.762772778
C8B	0.757390258	-0.010593521	0.110265286	0.561962256
GP1BA	-3.981687167	-3.713277	-4.073925737	-4.235823556
C8G	1.933936083	1.203611133	1.210563153	1.526415333
PFN1	-3.363939333	-4.664527933	-4.087475684	-5.001905667
THBS1	-1.904327533	-3.282473533	-4.232120684	-1.707206689
SERPINA6	-0.349011033	0.458309333	0.149224755	0.930457044
MGP	-5.02013575	-4.789109733	-4.712653579	-5.621598333
LPA	-1.844674583	1.944188	1.708173353	2.0213098
CD14	-1.034202964	-0.915421547	-2.569065921	-0.283482377
PTPRC	-3.824285667	-4.015745	-4.072147774	-4.784432444
CFH	5.469249583	5.230325467	5.123434421	5.051647778
SERPINF2	3.454163333	3.754435533	3.824349211	3.489713111
F7	-4.732602	-4.78672998	-3.928658789	-2.461033111
DBH	-2.580005667	-1.842011267	-2.341770663	-2.198919444
C1S	2.483047583	2.414411133	2.538739316	2.397846556
C4A	-4.57254525	-4.0776346	-5.050247579	-3.922882667
C4B	-1.109326767	-2.51905786	-1.364041332	-0.39863625
IGLC2	-4.85383225	-4.343396867	-4.790368105	-4.177372333
SAA1	-0.218518011	-1.087958507	-2.662541884	-1.962327678
SAA2	-2.5181445	-3.9399526	-5.052523174	-5.562439333
C7	0.419799656	0.70405026	0.275894443	0.198955483
CLU	4.13479725	4.458996533	4.217872474	4.178282333
CLU.1	3.254626	3.5366152	3.407250842	3.108195111
MBL2	-4.775444417	-5.692579067	-4.244177421	-5.069650889
MTHFD1	-5.718948108	-4.8358824	-2.814126437	-5.693646489
CETP	-4.3937995	-4.7165896	-3.925284684	-4.063794444
IGF2R	-4.187025667	-4.685503667	-5.674055632	-3.465266222
COL6A3	-5.42002	-5.540407267	-5.241677842	-5.465461889
F5	-0.14494714	-0.774583244	-0.298764711	-0.495812389
MYH7	-3.063603083	-3.326953	-3.136915158	-2.897641111
NCAM1	-3.141188017	-1.968536953	-2.581271921	-4.780933556
C6	2.227128667	2.115130333	1.9564231	1.894780333
LCP1	-3.449931667	-2.37715168	-3.496453605	-2.076946556
SELL	-3.523547667	-3.3962986	-4.121041737	-4.072912556
CPN1	0.034962575	0.392783574	0.505290974	0.7594796
DSP	-5.097892583	-4.836177667	-4.281412421	-3.640770467
IGFBP3	-0.692186108	-1.770900713	-0.870989789	-1.173936122
VCL	-4.800437833	-4.142629867	-5.242366211	-5.955310778
LBP	-1.9987875	-1.86618632	-1.517127958	-1.478309167
ORM2	3.207998667	2.492108133	2.967118053	2.138048389
ITIH2	4.62551575	4.643010667	4.989809737	4.458004111
ITIH1	4.007429333	4.147496	4.352673053	3.819425111
TYMP	-3.713944352	-4.973582	-3.665696453	-4.605131509
PZP	0.335618393	0.643400633	0.3696069	3.167740022
C4BPB	-1.10641405	-0.866130147	-1.030359352	-2.086216556
FLNA	-3.263511833	-4.498424933	-4.264684789	-4.5958845
SCP2	-3.06910205	-2.516478227	-2.989052495	-3.862510889
GPX3	-0.005152347	-0.244599773	0.260239806	0.033852328
CPN2	0.668657958	1.086389847	0.475820279	1.151048578
PROZ	-2.707509167	-2.2286405	-4.444592158	-1.4151301
HV102	-0.16888197	0.754234153	1.875572358	-0.5811357
FBLN1	0.301608976	-0.055886271	-0.289617029	-0.134842048
FBLN1.1	-2.64347775	-2.7948706	-2.766756368	-3.092155
AZGP1	2.76860075	2.2292997	2.902615316	2.632955667
ATP5A1	-5.272311483	-3.778861867	-5.421280684	-4.562109111
MSN	-4.018783908	-3.9637126	-4.123329105	-4.870622778
MST1	-3.143512167	-2.5760624	-2.138579658	-2.713739333
PON1	3.959292333	3.755578	3.631921789	3.689200778
MAP4	-0.121853358	0.302478207	-0.482008487	-0.45112145
CFP	-2.526112833	-3.194940133	-2.783292474	-2.911967889
SERPINA4	0.18890075	0.491089721	0.779351026	0.514422833
PRDX2	-4.94456425	-6.574960733	-4.922701	-5.607572222
SAA4	1.910898417	1.262759133	1.258770189	0.944492311
MYH9	-1.708327133	-2.581707267	-2.018991763	-2.342762556
IGFALS	2.28725775	2.212897533	2.650523895	2.538060667
SERPINF1	1.916818833	1.7793879	1.626757305	1.471699222
CFHR2	-4.174121917	-2.379200157	-2.939692263	-2.076806556
TAGLN2	-4.493726083	-5.324876067	-4.278693316	-5.225387222
GP5	-3.658018083	-2.9388584	-3.358239579	-4.139215667
ACAA2	-4.023215167	-3.105921933	-3.702423368	-4.572961889
MCAM	-3.683639833	-4.2671164	-4.188011474	-5.002954778
BTD	-2.950521917	-2.651483733	-2.091908737	-2.454409444
AFM	3.716068833	3.1821754	4.106419474	3.207402556
CAPZB	-4.704054333	-4.848355067	-4.107138737	-3.968901111
MASP1	-2.48418825	-2.489824887	-2.058518063	-1.623126
COMP	-4.949691417	-4.566610933	-5.342487474	-5.677785222
SEPP1	-0.87230575	-1.184724067	-0.235573256	-0.030698427
CAMP	-4.288330667	-4.3003366	-4.440571368	-4.420485556
LUM	0.979449317	0.456958663	0.904665074	0.419756749
HNRNPM	-3.796399083	-2.728299267	-3.305338842	-3.941579
CRISP3	-3.672519	-2.84259706	-3.138096421	-2.772198444
APOC4	-1.935127167	-3.629028533	-1.869551695	-3.550477444
PLTP	-2.478443167	-1.776972473	-1.489497542	-1.119749056
INHBC	-5.162881167	-5.747946667	-5.113870947	-5.866505444
LYZ	-3.406791333	-3.527099067	-3.611973211	-3.977938889
B2M	-4.485251583	-4.042756	-4.579030263	-4.522356333
TPM4	-3.50911675	-4.084427933	-3.837954842	-4.956305778
ACTA1	-4.058846667	-4.488582533	-5.102092211	-3.753978889
HBB	1.935360908	1.414822187	2.290454632	1.924203456
HBA1	2.081608408	1.98621918	2.277799368	1.665127811
GPLD1	-0.050089251	0.125261969	0.510902079	1.044762667
LV321.1	0.231911795	0.428051095	-0.283898452	-0.206297989
CFHR1	-3.05632675	-2.230006067	-2.403840053	-2.431288778
KRT17	-2.008034842	-2.012553663	-2.520852716	-1.394409622
HGFAC	-1.127130267	-1.837270273	-1.550775868	-2.218710744
ITIH3	0.649555175	0.745691907	0.587984511	0.463673
LGALS3BP	-1.66559275	-0.375507765	-2.031716947	-1.732397333
EFEMP1	-0.573756833	-0.502522033	-1.942933442	-1.023111233
MMRN1	-3.354307833	-2.7165348	-3.483529526	-3.853435444
ILK	-3.27479075	-3.60404224	-3.314128105	-3.053802333
APOF	-1.94615495	-1.197647333	-1.043715358	-1.170928389
DYNC1H1	-3.846109417	-2.911695	-2.893704158	-2.609867878
MYBPC2	-4.833850083	-4.879620667	-4.252381842	-5.533824
HABP2	-1.566834483	-1.7006212	-1.102639651	-0.777461333
ITIH4	4.085344	4.108021867	4.047275789	4.049578
ARHGAP19	-5.125415667	-4.794379	-5.026964368	-6.777732
PCOLCE	-5.2037165	-5.400609	-5.126649053	-5.326065444
PON3	-0.91181145	-0.99154586	-1.073608474	-0.861571923
FCN2	-2.702015917	-2.998002733	-2.194291526	-2.883803444
TGFBI	-3.566378383	-2.961286667	-3.574990211	-1.057979589
ADIPOQ	-2.225188167	-3.198564467	-3.220743526	-0.941960844
ECM1	0.885687483	0.84288948	1.115264468	1.2597478
ACTBL2	-3.575407833	-3.840798933	-3.603104089	-4.656731944
FRMPD1	-5.788062583	-4.782271933	-5.243715737	-5.401177333
VASN	-2.489222667	-3.201922333	-3.364779421	-2.666767111
PI16	-3.303862167	-5.089411867	-5.046414789	-4.850574667
NPHP3	-3.192394833	-3.740981133	-3.710794737	-3.868241222
SLFN11	-2.163078008	-2.54152734	-2.192526053	-1.743321444
FERMT3	-4.838060667	-4.3629824	-4.592157789	-4.802506778
PSTK	-5.805907917	-5.391789867	-5.446790053	-5.989294778
GPR116	-1.249183508	-2.409366533	-0.827525474	-1.274469322
ABCF1	-2.3735285	-1.563271133	-2.438766289	-1.689092111
TTN	-1.383248475	-1.923166497	-1.387717352	-0.665445822
CTTNBP2	-4.33266	-3.831473267	-3.974019316	-4.186694667
CFHR4	-3.374705667	-4.2938866	-3.866853526	-3.045813111
FAM3C	-4.891378833	-4.8508936	-5.064914684	-4.800538333
NUP205	-2.85866075	-2.012181313	-2.232611579	-2.188094222
RYR2	-2.374562475	-2.846621893	-2.044433368	-2.001054111
PRG4	-2.920572742	-3.243240933	-2.693806263	-3.695088111
PRG4.1	-2.554108417	-1.667820553	-1.825519105	-3.045332444
CPB2	-0.230536776	0.114643448	-0.050684967	0.237930788
CNDP1	-0.9530103	-0.961213587	-1.184268524	-0.263776194
SCLT1	-5.7418855	-5.056334467	-5.389670053	-5.875105889
PGLYRP2	1.661277667	1.689693353	1.681155789	0.905424111
CDK5RAP2	-4.301353667	-5.1259972	-4.285840579	-4.488308444
OLFM1	-4.731945583	-4.034634333	-4.174711316	-5.000954444
SH3GL3	-0.9794387	-2.799862667	-2.275310842	-2.221775222
COLEC11	-4.621165583	-3.928129933	-3.826286684	-5.790052222
CFHR5	-2.736832333	-2.5258396	-3.404819526	-2.081242444
CDHR5	0.405573272	0.228734572	0.021280975	0.027281352
IL1RAP	-5.18312575	-4.897661333	-4.731263842	-5.025121667
IL1RAP.1	-5.179087	-4.816928667	-4.722287105	-5.840717889
INPP5E	-3.509635917	-2.792196513	-3.248038789	-3.380957556
C1RL	-0.6666364	-0.879501773	-0.158959989	-0.773477833
FETUB	0.066935758	0.023922862	0.389314233	0.742109122
PCYOX1	-2.891213583	-3.349109733	-2.542954	-1.720239833
SERPINA10	-2.079832317	-2.6259976	-2.262087474	-1.6146487
MAN2B2	-2.159221533	-3.1818708	-2.957539	-2.558640833
ATP11B	-1.323218992	-1.555686533	-1.508019726	-1.483870778
TLN1	-2.253949383	-3.825684667	-3.136205321	-3.8426823
AFG3L2	-3.94192325	-4.528419133	-4.145027158	-4.446709444
LYVE1	-3.727219417	-3.909394667	-3.556653368	-3.705289111
FCGBP	-2.636318417	-1.20104204	-1.614580032	-2.576050333
ZNF10	-5.033173333	-4.477607	-4.795285684	-5.361429889
FAM161B	-5.087051667	-4.5995478	-4.924801579	-4.097672222
