Statistics results for Sun Apr 19 12:39:33 CEST 2020
Dataset: E:\metabolome_limma_analysis 5.pgex
Pathway directory: E:\Internship + Thesis\PathVisio Tutorial\WikiPathways human pathways collection
Gene database: E:\Internship + Thesis\PathVisio Tutorial\Hs_Derby_Ensembl_91.bridge, C:\Users\sabde\OneDrive\Documents\UM documents\BMS Year 3\Internship + Thesis\Sabrina_BMS_Bachelor-Internship\Identifier Mapping Databases\Metabolite database\metabolites_20191025.bridge
Criterion: ( [logFC]  < -1 OR  [logFC]  > 1) AND  [P.Value]  < 0.05 
Calculation method: pathway-centric. Calculations are performed after mapping data to pathways.
Total data points (N): 145
Data points meeting criterion (R): 16

Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
TNF alpha Signaling Pathway	0	1	97	0.00%	-0.35	0.268
Type II diabetes mellitus	0	1	28	0.00%	-0.35	0.061
Vitamins A and D - action mechanisms	0	1	14	0.00%	-0.35	0.020
Vitamin D-sensitive calcium signaling in depression	0	1	55	0.00%	-0.35	0.128
Amino Acid Metabolism Pathway Excerpt (Histidine catabolism extension)	0	2	23	0.00%	-0.50	0.020
Amino Acid metabolism	0	2	205	0.00%	-0.50	0.393
Cerebral Organic Acidurias, including diseases	0	2	46	0.00%	-0.50	0.051
Disorders of the Krebs cycle	0	2	34	0.00%	-0.50	0.033
Glycerophospholipid Biosynthetic Pathway	0	2	104	0.00%	-0.50	0.176
HIF1A and PPARG regulation of glycolysis	0	2	19	0.00%	-0.50	0.016
IL-10 Anti-inflammatory Signaling Pathway 	0	2	19	0.00%	-0.50	0.019
Kennedy pathway from Sphingolipids	0	2	35	0.00%	-0.50	0.032
Major receptors targeted by epinephrine and norepinephrine	0	2	34	0.00%	-0.50	0.046
Metabolism of Spingolipids in ER and Golgi apparatus	0	2	72	0.00%	-0.50	0.118
Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway	0	2	77	0.00%	-0.50	0.114
Tryptophan metabolism	0	2	140	0.00%	-0.50	0.243
Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases	0	3	38	0.00%	-0.61	0.046
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways)	0	3	96	0.00%	-0.61	0.111
Ferroptosis	0	3	70	0.00%	-0.61	0.070
Metabolic reprogramming in colon cancer	0	3	81	0.00%	-0.61	0.105
Methionine metabolism leading to Sulphur Amino Acids and related disorders	0	3	41	0.00%	-0.61	0.037
MTHFR deficiency	0	3	60	0.00%	-0.61	0.056
One Carbon Metabolism	0	3	57	0.00%	-0.61	0.070
Pyrimidine metabolism and related diseases	0	3	93	0.00%	-0.61	0.095
Acetylcholine Synthesis	0	4	18	0.00%	-0.71	0.013
Modified nucleosides derived from t-RNA as urinary cancer markers	0	4	21	0.00%	-0.71	0.024
Omega-9 FA synthesis	0	4	44	0.00%	-0.71	0.054
Sphingolipid Metabolism (general overview)	0	4	55	0.00%	-0.71	0.066
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways	0	4	182	0.00%	-0.71	0.194
Urea cycle and associated pathways	0	4	78	0.00%	-0.71	0.061
Biomarkers for pyrimidine metabolism disorders	0	5	88	0.00%	-0.80	0.086
Cysteine and methionine catabolism	0	5	74	0.00%	-0.80	0.083
Phosphatidylcholine catabolism	0	5	32	0.00%	-0.80	0.030
Sphingolipid Metabolism (integrated pathway)	0	5	97	0.00%	-0.80	0.109
Trans-sulfuration and one carbon metabolism	0	5	66	0.00%	-0.80	0.062
One carbon metabolism and related pathways	0	9	94	0.00%	-1.09	0.079
4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression	0	0	31	NaN%	NaN	0.000
ACE Inhibitor Pathway	0	0	29	NaN%	NaN	0.000
Activation of NLRP3 Inflammasome by SARS-CoV-2	0	0	10	NaN%	NaN	0.000
Adipogenesis	0	0	132	NaN%	NaN	0.000
Aflatoxin B1 metabolism	0	0	16	NaN%	NaN	0.000
AGE/RAGE pathway	0	0	67	NaN%	NaN	0.000
Allograft Rejection	0	0	113	NaN%	NaN	0.000
Alpha 6 Beta 4 signaling pathway	0	0	34	NaN%	NaN	0.000
Alzheimers Disease	0	0	166	NaN%	NaN	0.000
Amino acid conjugation of benzoic acid	0	0	14	NaN%	NaN	0.000
Amino acid conjugation	0	0	7	NaN%	NaN	0.000
AMP-activated Protein Kinase (AMPK) Signaling	0	0	78	NaN%	NaN	0.000
Amplification and Expansion of Oncogenic Pathways as Metastatic Traits	0	0	18	NaN%	NaN	0.000
Amyotrophic lateral sclerosis (ALS)	0	0	56	NaN%	NaN	0.000
Androgen receptor signaling pathway	0	0	90	NaN%	NaN	0.000
Angiogenesis	0	0	25	NaN%	NaN	0.000
ApoE and miR-146 in inflammation and atherosclerosis	0	0	13	NaN%	NaN	0.000
Apoptosis-related network due to altered Notch3 in ovarian cancer	0	0	54	NaN%	NaN	0.000
Apoptosis Modulation and Signaling	0	0	97	NaN%	NaN	0.000
Apoptosis Modulation by HSP70	0	0	22	NaN%	NaN	0.000
Apoptosis	0	0	88	NaN%	NaN	0.000
Arachidonate Epoxygenase / Epoxide Hydrolase	0	0	18	NaN%	NaN	0.000
Aripiprazole Metabolic Pathway	0	0	7	NaN%	NaN	0.000
Arrhythmogenic Right Ventricular Cardiomyopathy	0	0	81	NaN%	NaN	0.000
Arylamine metabolism	0	0	13	NaN%	NaN	0.000
Aryl Hydrocarbon Receptor Netpath	0	0	57	NaN%	NaN	0.000
Aryl Hydrocarbon Receptor Pathway	0	0	49	NaN%	NaN	0.000
Association Between Physico-Chemical Features and Toxicity Associated Pathways	0	0	78	NaN%	NaN	0.000
ATM Signaling Network in Development and Disease 	0	0	49	NaN%	NaN	0.000
ATM Signaling Pathway	0	0	50	NaN%	NaN	0.000
ATR Signaling	0	0	10	NaN%	NaN	0.000
Autosomal recessive Osteopetrosis pathways	0	0	14	NaN%	NaN	0.000
Base Excision Repair	0	0	32	NaN%	NaN	0.000
BDNF-TrkB Signaling	0	0	38	NaN%	NaN	0.000
Benzene metabolism	0	0	17	NaN%	NaN	0.000
Benzo(a)pyrene metabolism	0	0	17	NaN%	NaN	0.000
Bile Acids synthesis and enterohepatic circulation 	0	0	18	NaN%	NaN	0.000
Bladder Cancer	0	0	47	NaN%	NaN	0.000
Blood Clotting Cascade	0	0	27	NaN%	NaN	0.000
BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation	0	0	16	NaN%	NaN	0.000
BMP Signaling Pathway in Eyelid Development	0	0	23	NaN%	NaN	0.000
Bone Morphogenic Protein (BMP) Signalling and Regulation	0	0	13	NaN%	NaN	0.000
Brain-Derived Neurotrophic Factor (BDNF) signaling pathway	0	0	150	NaN%	NaN	0.000
Breast cancer pathway	0	0	167	NaN%	NaN	0.000
Butyrate-induced histone acetylation	0	0	11	NaN%	NaN	0.000
B Cell Receptor Signaling Pathway	0	0	99	NaN%	NaN	0.000
Caffeine and Theobromine metabolism	0	0	18	NaN%	NaN	0.000
Caloric restriction and aging	0	0	13	NaN%	NaN	0.000
Cancer immunotherapy by CTLA4 blockade	0	0	21	NaN%	NaN	0.000
Cancer immunotherapy by PD-1 blockade	0	0	35	NaN%	NaN	0.000
Cannabinoid receptor signaling	0	0	54	NaN%	NaN	0.000
Canonical  and Non-canonical Notch signaling	0	0	31	NaN%	NaN	0.000
Canonical and Non-Canonical TGF-B signaling	0	0	18	NaN%	NaN	0.000
Canonical NF-KB pathway	0	0	9	NaN%	NaN	0.000
Cardiac Hypertrophic Response	0	0	61	NaN%	NaN	0.000
Cardiac Progenitor Differentiation	0	0	56	NaN%	NaN	0.000
Catalytic cycle of mammalian Flavin-containing MonoOxygenases (FMOs)	0	0	14	NaN%	NaN	0.000
Cell-type Dependent Selectivity of CCK2R Signaling	0	0	26	NaN%	NaN	0.000
Cells and Molecules involved in local acute inflammatory response 	0	0	19	NaN%	NaN	0.000
Cell Cycle	0	0	124	NaN%	NaN	0.000
Cell Differentiation - Index expanded	0	0	69	NaN%	NaN	0.000
Cell Differentiation - Index	0	0	61	NaN%	NaN	0.000
Cell migration and invasion through p75NTR	0	0	31	NaN%	NaN	0.000
Chemokine signaling pathway	0	0	172	NaN%	NaN	0.000
Cholesterol Biosynthesis Pathway	0	0	32	NaN%	NaN	0.000
Cholesterol Biosynthesis with Skeletal Dysplasias	0	0	23	NaN%	NaN	0.000
Ciliary landscape	0	0	215	NaN%	NaN	0.000
Circadian rhythm related genes	0	0	209	NaN%	NaN	0.000
Classical pathway of steroidogenesis, including diseases	0	0	49	NaN%	NaN	0.000
Codeine and Morphine Metabolism	0	0	26	NaN%	NaN	0.000
Colchicine Metabolic Pathway	0	0	5	NaN%	NaN	0.000
Common Pathways Underlying Drug Addiction	0	0	50	NaN%	NaN	0.000
Complement Activation	0	0	24	NaN%	NaN	0.000
Complement and Coagulation Cascades	0	0	63	NaN%	NaN	0.000
Composition of Lipid Particles	0	0	21	NaN%	NaN	0.000
Constitutive Androstane Receptor Pathway	0	0	34	NaN%	NaN	0.000
Control of immune tolerance by vasoactive intestinal peptide	0	0	16	NaN%	NaN	0.000
Conversion of Angiotensinogen to Angiotensin II 	0	0	9	NaN%	NaN	0.000
Copper homeostasis	0	0	58	NaN%	NaN	0.000
Cori Cycle	0	0	53	NaN%	NaN	0.000
Corticotropin-releasing hormone signaling pathway	0	0	98	NaN%	NaN	0.000
Cytokines and Inflammatory Response	0	0	32	NaN%	NaN	0.000
Cytoplasmic Ribosomal Proteins	0	0	89	NaN%	NaN	0.000
Cytosolic DNA-sensing pathway	0	0	77	NaN%	NaN	0.000
DDX1 as a regulatory component of the Drosha microprocessor	0	0	8	NaN%	NaN	0.000
Degradation pathway of sphingolipids, including diseases	0	0	41	NaN%	NaN	0.000
Deregulation of Rab and Rab Effector Genes in Bladder Cancer	0	0	17	NaN%	NaN	0.000
Development and heterogeneity of the ILC family	0	0	33	NaN%	NaN	0.000
Development of pulmonary dendritic cells and macrophage subsets	0	0	14	NaN%	NaN	0.000
Diclofenac Metabolic Pathway	0	0	12	NaN%	NaN	0.000
Differentiation of white and brown adipocyte   	0	0	26	NaN%	NaN	0.000
DNA Damage Response (only ATM dependent)	0	0	118	NaN%	NaN	0.000
DNA IR-damage and cellular response via ATR	0	0	90	NaN%	NaN	0.000
DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM	0	0	65	NaN%	NaN	0.000
DNA Mismatch Repair	0	0	23	NaN%	NaN	0.000
DNA Replication	0	0	50	NaN%	NaN	0.000
Dopaminergic Neurogenesis	0	0	32	NaN%	NaN	0.000
Dopamine metabolism	0	0	48	NaN%	NaN	0.000
Downregulation of ACE2 expression by SARS-CoV infection and SARS-CoV Spike protein.	0	0	7	NaN%	NaN	0.000
Dual hijack model of Vif in HIV infection	0	0	10	NaN%	NaN	0.000
Ebola Virus Pathway on Host	0	0	141	NaN%	NaN	0.000
EBV LMP1 signaling	0	0	25	NaN%	NaN	0.000
Ectoderm Differentiation	0	0	145	NaN%	NaN	0.000
EDA Signalling in Hair Follicle Development	0	0	15	NaN%	NaN	0.000
Effects of Nitric Oxide	0	0	16	NaN%	NaN	0.000
EGF/EGFR Signaling Pathway	0	0	163	NaN%	NaN	0.000
Eicosanoid Synthesis	0	0	57	NaN%	NaN	0.000
eIF5A regulation in response to inhibition of the nuclear export system	0	0	6	NaN%	NaN	0.000
Electron Transport Chain (OXPHOS system in mitochondria)	0	0	119	NaN%	NaN	0.000
Endochondral Ossification with Skeletal Dysplasias	0	0	69	NaN%	NaN	0.000
Endochondral Ossification	0	0	69	NaN%	NaN	0.000
Endoderm Differentiation	0	0	147	NaN%	NaN	0.000
Endometrial cancer	0	0	77	NaN%	NaN	0.000
Endothelin Pathways	0	0	48	NaN%	NaN	0.000
Energy Metabolism	0	0	49	NaN%	NaN	0.000
Envelope proteins and their potential roles in EDMD physiopathology	0	0	47	NaN%	NaN	0.000
Epithelial to mesenchymal transition in colorectal cancer	0	0	161	NaN%	NaN	0.000
EPO Receptor Signaling	0	0	27	NaN%	NaN	0.000
ErbB Signaling Pathway	0	0	101	NaN%	NaN	0.000
ERK Pathway in Huntington's Disease	0	0	17	NaN%	NaN	0.000
ESC Pluripotency Pathways	0	0	123	NaN%	NaN	0.000
Estrogen metabolism	0	0	45	NaN%	NaN	0.000
Estrogen Receptor Pathway	0	0	16	NaN%	NaN	0.000
Estrogen signaling pathway	0	0	26	NaN%	NaN	0.000
Ethanol effects on histone modifications	0	0	53	NaN%	NaN	0.000
Ethanol metabolism resulting in production of ROS by CYP2E1	0	0	28	NaN%	NaN	0.000
Eukaryotic Transcription Initiation	0	0	42	NaN%	NaN	0.000
Evolocumab Mechanism	0	0	5	NaN%	NaN	0.000
EV release from cardiac cells and their functional effects	0	0	17	NaN%	NaN	0.000
Exercise-induced Circadian Regulation	0	0	49	NaN%	NaN	0.000
exRNA mechanism of action and biogenesis	0	0	8	NaN%	NaN	0.000
Extracellular vesicle-mediated signaling in recipient cells	0	0	31	NaN%	NaN	0.000
Extracellular vesicles in the crosstalk of cardiac cells	0	0	30	NaN%	NaN	0.000
FABP4 in ovarian cancer	0	0	3	NaN%	NaN	0.000
Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling	0	0	34	NaN%	NaN	0.000
Farnesoid X Receptor  Pathway	0	0	21	NaN%	NaN	0.000
Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation	0	0	48	NaN%	NaN	0.000
Fatty Acid Beta Oxidation	0	0	71	NaN%	NaN	0.000
Fatty Acid Biosynthesis	0	0	37	NaN%	NaN	0.000
Fatty Acid Omega Oxidation	0	0	20	NaN%	NaN	0.000
FBXL10 enhancement of MAP/ERK signaling in diffuse large B-cell lymphoma	0	0	36	NaN%	NaN	0.000
Felbamate Metabolism	0	0	12	NaN%	NaN	0.000
FGF23 signalling in Hypophosphatemic rickets	0	0	28	NaN%	NaN	0.000
FGFR3 signalling in chondrocyte proliferation and terminal differentiation	0	0	29	NaN%	NaN	0.000
Fibrin Complement Receptor 3 Signaling Pathway	0	0	46	NaN%	NaN	0.000
Fluoropyrimidine Activity	0	0	58	NaN%	NaN	0.000
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	0	0	305	NaN%	NaN	0.000
Focal Adhesion	0	0	201	NaN%	NaN	0.000
Folate-Alcohol and Cancer Pathway Hypotheses	0	0	24	NaN%	NaN	0.000
Folate Metabolism	0	0	142	NaN%	NaN	0.000
Follicle Stimulating Hormone (FSH) signaling pathway	0	0	28	NaN%	NaN	0.000
Fragile X Syndrome 	0	0	133	NaN%	NaN	0.000
FTO Obesity Variant Mechanism	0	0	11	NaN%	NaN	0.000
G13 Signaling Pathway	0	0	39	NaN%	NaN	0.000
G1 to S cell cycle control	0	0	68	NaN%	NaN	0.000
GABA receptor Signaling	0	0	57	NaN%	NaN	0.000
Gamma-Glutamyl Cycle for the biosynthesis and degradation of glutathione, including diseases	0	0	24	NaN%	NaN	0.000
Ganglio Sphingolipid Metabolism	0	0	56	NaN%	NaN	0.000
Gastric Cancer Network 1	0	0	30	NaN%	NaN	0.000
Gastric Cancer Network 2	0	0	33	NaN%	NaN	0.000
Gastrin Signaling Pathway	0	0	115	NaN%	NaN	0.000
GDNF/RET signalling axis	0	0	24	NaN%	NaN	0.000
Genes controlling renal nephrogenesis	0	0	38	NaN%	NaN	0.000
Genes involved in male infertility	0	0	150	NaN%	NaN	0.000
Genes related to primary cilium development (based on CRISPR)	0	0	104	NaN%	NaN	0.000
Genes targeted by miRNAs in adipocytes	0	0	19	NaN%	NaN	0.000
Gene regulatory network modelling somitogenesis 	0	0	13	NaN%	NaN	0.000
Genotoxicity pathway	0	0	65	NaN%	NaN	0.000
GHB metabolic pathway	0	0	25	NaN%	NaN	0.000
Glial Cell Differentiation	0	0	9	NaN%	NaN	0.000
Globo Sphingolipid Metabolism	0	0	28	NaN%	NaN	0.000
Glucocorticoid and Mineralcorticoid Metabolism	0	0	26	NaN%	NaN	0.000
Glucuronidation	0	0	41	NaN%	NaN	0.000
Glycogen Synthesis and Degradation	0	0	54	NaN%	NaN	0.000
Glycosaminoglycan degradation	0	0	45	NaN%	NaN	0.000
Glycosylation and related congenital defects	0	0	73	NaN%	NaN	0.000
GPCRs, Class A Rhodopsin-like	0	0	272	NaN%	NaN	0.000
GPCRs, Class B Secretin-like	0	0	24	NaN%	NaN	0.000
GPCRs, Class C Metabotropic glutamate, pheromone	0	0	15	NaN%	NaN	0.000
GPCRs, Other	0	0	114	NaN%	NaN	0.000
GPR40 Pathway	0	0	20	NaN%	NaN	0.000
G Protein Signaling Pathways	0	0	97	NaN%	NaN	0.000
H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity	0	0	17	NaN%	NaN	0.000
Hair Follicle Development: Cytodifferentiation (Part 3 of 3)	0	0	92	NaN%	NaN	0.000
Heart Development	0	0	48	NaN%	NaN	0.000
Hedgehog Signaling Pathway Netpath	0	0	17	NaN%	NaN	0.000
Hedgehog Signaling Pathway	0	0	44	NaN%	NaN	0.000
Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex	0	0	26	NaN%	NaN	0.000
Heme Biosynthesis	0	0	28	NaN%	NaN	0.000
Hepatitis B infection	0	0	155	NaN%	NaN	0.000
Hepatitis C and Hepatocellular Carcinoma	0	0	63	NaN%	NaN	0.000
Heroin metabolism	0	0	8	NaN%	NaN	0.000
Hfe effect on hepcidin production	0	0	8	NaN%	NaN	0.000
Hijack of Ubiquitination by SARS-CoV-2	0	0	12	NaN%	NaN	0.000
HIPK2 in kidney fibrosis	0	0	8	NaN%	NaN	0.000
Hippo-Merlin Signaling Dysregulation	0	0	121	NaN%	NaN	0.000
Hippo-Yap signaling pathway	0	0	24	NaN%	NaN	0.000
Histone Modifications	0	0	68	NaN%	NaN	0.000
Homologous recombination	0	0	14	NaN%	NaN	0.000
Hormonal control of Pubertal Growth Spurt	0	0	8	NaN%	NaN	0.000
Host-pathogen interaction of human corona viruses - apoptosis	0	0	31	NaN%	NaN	0.000
Host-pathogen interaction of human corona viruses - autophagy	0	0	17	NaN%	NaN	0.000
Host-pathogen interaction of human corona viruses - ER stress	0	0	54	NaN%	NaN	0.000
Host-pathogen interaction of human corona viruses - Interferon induction	0	0	44	NaN%	NaN	0.000
Host-pathogen interaction of human corona viruses - MAPK signaling	0	0	35	NaN%	NaN	0.000
Human Complement System	0	0	143	NaN%	NaN	0.000
Human Thyroid Stimulating Hormone (TSH) signaling pathway	0	0	67	NaN%	NaN	0.000
Hypertrophy Model	0	0	21	NaN%	NaN	0.000
Hypothesized Pathways in Pathogenesis of Cardiovascular Disease	0	0	27	NaN%	NaN	0.000
Hypothetical Craniofacial Development Pathway	0	0	11	NaN%	NaN	0.000
Hypoxia-mediated EMT and Stemness	0	0	6	NaN%	NaN	0.000
ID signaling pathway	0	0	17	NaN%	NaN	0.000
IL-18 signaling pathway	0	0	288	NaN%	NaN	0.000
IL-1 signaling pathway	0	0	57	NaN%	NaN	0.000
IL-2 Signaling Pathway	0	0	43	NaN%	NaN	0.000
IL-3 Signaling Pathway	0	0	50	NaN%	NaN	0.000
IL-4 Signaling Pathway	0	0	55	NaN%	NaN	0.000
IL-5 Signaling Pathway	0	0	41	NaN%	NaN	0.000
IL-6 signaling pathway	0	0	45	NaN%	NaN	0.000
IL-7 Signaling Pathway	0	0	26	NaN%	NaN	0.000
IL-9 Signaling Pathway	0	0	18	NaN%	NaN	0.000
IL17 signaling pathway	0	0	33	NaN%	NaN	0.000
IL1 and megakaryocytes in obesity	0	0	26	NaN%	NaN	0.000
Imatinib and Chronic Myeloid Leukemia	0	0	25	NaN%	NaN	0.000
Inflammatory Response Pathway	0	0	34	NaN%	NaN	0.000
Influenza A virus infection	0	0	16	NaN%	NaN	0.000
Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells	0	0	19	NaN%	NaN	0.000
Initiation of transcription and translation elongation at the HIV-1 LTR	0	0	35	NaN%	NaN	0.000
Insulin Signaling	0	0	162	NaN%	NaN	0.000
Insulin signalling in human adipocytes (diabetic condition)	0	0	12	NaN%	NaN	0.000
Insulin signalling in human adipocytes (normal condition)	0	0	15	NaN%	NaN	0.000
Integrated Breast Cancer Pathway	0	0	200	NaN%	NaN	0.000
Integrated Cancer Pathway	0	0	50	NaN%	NaN	0.000
Integrin-mediated Cell Adhesion	0	0	102	NaN%	NaN	0.000
Interactions between immune cells and microRNAs in tumor microenvironment	0	0	52	NaN%	NaN	0.000
Interactome of polycomb repressive complex 2 (PRC2) 	0	0	17	NaN%	NaN	0.000
Interferon type I signaling pathways	0	0	57	NaN%	NaN	0.000
Interleukin-11 Signaling Pathway	0	0	45	NaN%	NaN	0.000
Interleukin-1 Induced Activation of NF-kappa-B	0	0	13	NaN%	NaN	0.000
Intracellular trafficking proteins involved in CMT neuropathy	0	0	28	NaN%	NaN	0.000
Intraflagellar transport proteins binding to dynein	0	0	28	NaN%	NaN	0.000
Irinotecan Pathway	0	0	18	NaN%	NaN	0.000
Iron metabolism in placenta	0	0	15	NaN%	NaN	0.000
Joubert Syndrome	0	0	87	NaN%	NaN	0.000
Ketogenesis and Ketolysis	0	0	27	NaN%	NaN	0.000
Kisspeptin/Kisspeptin Receptor System in the Ovary	0	0	49	NaN%	NaN	0.000
Kit receptor signaling pathway	0	0	60	NaN%	NaN	0.000
Lamin A-processing pathway	0	0	8	NaN%	NaN	0.000
Leptin and adiponectin	0	0	14	NaN%	NaN	0.000
Leptin Insulin Overlap	0	0	20	NaN%	NaN	0.000
Leptin signaling pathway	0	0	77	NaN%	NaN	0.000
let-7 inhibition of ES cell reprogramming	0	0	17	NaN%	NaN	0.000
Lidocaine metabolism	0	0	11	NaN%	NaN	0.000
Lipid Metabolism Pathway	0	0	43	NaN%	NaN	0.000
Liver X Receptor Pathway	0	0	12	NaN%	NaN	0.000
LncRNA-mediated mechanisms of therapeutic resistance	0	0	14	NaN%	NaN	0.000
LncRNA involvement in canonical Wnt signaling and colorectal cancer	0	0	102	NaN%	NaN	0.000
Lung fibrosis	0	0	85	NaN%	NaN	0.000
Macrophage markers	0	0	10	NaN%	NaN	0.000
Mammalian Sexual Development	0	0	29	NaN%	NaN	0.000
Mammary gland development pathway - Embryonic development (Stage 1 of 4)	0	0	21	NaN%	NaN	0.000
Mammary gland development pathway - Involution (Stage 4 of 4)	0	0	13	NaN%	NaN	0.000
Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)	0	0	42	NaN%	NaN	0.000
Mammary gland development pathway - Puberty (Stage 2 of 4)	0	0	15	NaN%	NaN	0.000
MAPK  and NFkB Signalling Pathways Inhibited by Yersinia YopJ	0	0	13	NaN%	NaN	0.000
MAPK Cascade	0	0	37	NaN%	NaN	0.000
