	logFC	AveExpr	t	P.Value	adj.P.Val	B
C1RL	0.231402788	-1.133049773	1.061897084	0.292460522	0.915592784	-5.346758802
EFEMP1	0.273320562	-1.224576383	1.057744787	0.294334686	0.915592784	-5.350801849
C4B	-0.258390749	-0.730568994	-1.0509864	0.297402733	0.915592784	-5.357349854
C4BPA	-0.124102445	3.452367075	-1.048008029	0.298761729	0.915592784	-5.360222699
AFM	0.134690316	3.78163653	1.047819877	0.298847723	0.915592784	-5.360403921
F13B	-0.130703973	0.175771616	-1.043586545	0.300787023	0.915592784	-5.36447306
APOB	0.106929749	5.805094997	1.038396233	0.303176418	0.915592784	-5.36944043
CFD	0.161182618	-3.665912156	1.028150475	0.307930986	0.920744136	-5.379176098
GPR116	0.156085385	-1.811845337	1.015331118	0.313950686	0.929540267	-5.391226236
PRDX2	-0.187218315	-5.338178968	-0.996381782	0.322993284	0.936796254	-5.408771406
KLKB1	0.078632793	2.270901916	0.994348802	0.323973657	0.936796254	-5.41063479
HRG	0.093636692	3.806173083	0.981178517	0.330372883	0.936796254	-5.422617315
APOA2	-0.091812533	4.326244023	-0.97038625	0.335678751	0.936796254	-5.432321153
MASP2	0.136479326	-3.70327686	0.951198823	0.345250033	0.936796254	-5.449317008
LDHB	-0.224854821	-2.218730891	-0.937191012	0.352349075	0.936796254	-5.461517232
C1QC	0.078503419	1.923061184	0.917942997	0.362257096	0.936796254	-5.477995141
LUM	0.070349353	0.728350827	0.912429587	0.365127798	0.936796254	-5.482653939
MCAM	-0.140820173	-4.413277335	-0.902768043	0.370193336	0.936796254	-5.490752149
LV321.1	0.207213258	-0.060107435	0.900852005	0.371203204	0.936796254	-5.492348201
KVD16	0.096094964	-1.599616577	0.89800489	0.372707037	0.936796254	-5.49471375
MMRN1	-0.094937775	-3.339413664	-0.885576603	0.379316799	0.936796254	-5.504954646
IGF2	0.061981486	-3.066060692	0.868322015	0.388614998	0.936796254	-5.518942183
PSTK	-0.078567792	-5.725432545	-0.863961436	0.39098717	0.936796254	-5.5224347
KVD33_2	-0.133694252	-1.933136761	-0.861431559	0.392367554	0.936796254	-5.524453103
PCYOX1	0.15536353	-3.34371707	0.846792706	0.400414307	0.936796254	-5.536019117
PROC	0.082464508	-2.495447674	0.84275324	0.402652508	0.936796254	-5.539176638
SERPINF1	0.065640885	1.713910895	0.841506322	0.403344954	0.936796254	-5.54014834
HNRNPM	-0.150529579	-3.053689788	-0.837957578	0.405319661	0.936796254	-5.542906135
PLG	0.043773151	4.905778572	0.83390987	0.40757923	0.936796254	-5.546037805
HPX	0.04894874	6.584625705	0.809044169	0.421628163	0.936796254	-5.564951293
LV657	0.24962736	-3.775429229	0.809003724	0.421651249	0.936796254	-5.564981601
CLU.1	-0.041590124	3.308935011	-0.800047056	0.426782345	0.936796254	-5.571656916
CLU	-0.042753541	4.202057526	-0.79358193	0.430509159	0.936796254	-5.576430158
F2	0.043928236	4.928427293	0.791369017	0.431789223	0.936796254	-5.578055265
C4BPB	-0.061851527	-1.034191638	-0.778267333	0.439414087	0.936796254	-5.587585842
CAMP	0.124201521	-4.785597925	0.772271361	0.44292986	0.936796254	-5.591895558
ASS1	-0.193470995	-3.501610179	-0.770198046	0.444149385	0.936796254	-5.593378198
C1QA	0.057602691	2.10308455	0.769501522	0.444559521	0.936796254	-5.59387541
SAA1	-0.229765647	-1.287437981	-0.765314226	0.447029798	0.936796254	-5.596855219
SCLT1	0.087843723	-5.326063707	0.76292074	0.448445413	0.936796254	-5.598551344
C8G	0.062481294	1.540372411	0.761699629	0.449168635	0.936796254	-5.599414669
DBH	-0.183756048	-1.863132524	-0.758627468	0.450991168	0.936796254	-5.601580695
ITIH4	0.053296538	3.948309278	0.757706711	0.451538233	0.936796254	-5.602228203
FCGBP	0.135537294	-2.029866142	0.742456842	0.460654671	0.936796254	-5.612840331
KVD28	0.093348375	-4.826385241	0.742075012	0.460884276	0.936796254	-5.613103325
LV140	0.126874671	-3.830033459	0.737453393	0.463668581	0.936796254	-5.61627605
CST3	-0.090368036	-2.496932944	-0.736891205	0.464007926	0.936796254	-5.616660663
APOC2	0.122122904	2.113259501	0.736505658	0.46424073	0.936796254	-5.616924264
CDK5RAP2	0.124966741	-4.872445903	0.735020725	0.465137996	0.936796254	-5.617938257
TF	0.0421307	9.399921319	0.731192393	0.467455803	0.936796254	-5.620543187
CFI	0.057593214	1.943440045	0.727285723	0.469827788	0.936796254	-5.62318766
CDHR5	0.07885748	0.307436676	0.711482039	0.479492424	0.936796254	-5.63374342
PGLYRP2	0.052218704	1.69181375	0.711152138	0.47969535	0.936796254	-5.633961344
SAA4	-0.094163493	1.519129434	-0.711127132	0.479710734	0.936796254	-5.633977858
PIGR	0.14445946	-3.747281366	0.708769558	0.481162332	0.936796254	-5.635532269
C8B	-0.067735394	0.6839063	-0.693315896	0.490737827	0.936796254	-5.645595662
OLFM1	-0.092004781	-4.191696841	-0.691094279	0.492122978	0.936796254	-5.647024446
MSN	0.121456961	-3.943142609	0.687501064	0.494367845	0.936796254	-5.649325799
LGALS3BP	0.12208845	-1.641495668	0.682421075	0.497551129	0.936796254	-5.652559256
ITIH2	0.041456362	4.835406755	0.664487354	0.508877847	0.936796254	-5.663785522
SAA2	-0.177684789	-4.003180558	-0.662941454	0.509860661	0.936796254	-5.664739457
PROZ	-0.200903376	-2.401453436	-0.655468096	0.514626208	0.936796254	-5.669320222
NUP205	-0.094411554	-2.545399192	-0.654943326	0.514961728	0.936796254	-5.669639956
SERPINA7	0.077184977	-0.556630918	0.654552717	0.515211546	0.936796254	-5.669877784
CPN1	0.053637764	0.235108523	0.648855069	0.518862849	0.936796254	-5.673330991
KV315	-0.078693394	2.324424287	-0.639402155	0.524950769	0.936796254	-5.678994553
ATP5A1	-0.105646629	-4.623415438	-0.637211876	0.526366694	0.936796254	-5.680295134
APCS	0.076917241	-1.756736566	0.629295334	0.531501034	0.936796254	-5.68495926
FCN2	-0.093346827	-2.633529902	-0.626319774	0.533437564	0.936796254	-5.68669748
MYBPC2	0.061679006	-4.708526576	0.625674597	0.533857935	0.936796254	-5.687073299
HV146	0.086130349	-3.566686302	0.621733099	0.53642977	0.936796254	-5.689360943
THBS1	-0.195517799	-3.056545466	-0.612412091	0.542537058	0.936796254	-5.694714104
MTHFD1	0.158695487	-4.259294999	0.610424719	0.543843798	0.936796254	-5.695845154
APOA4	-0.063836931	4.92984226	-0.608884092	0.544857896	0.936796254	-5.696719457
HBB	-0.088841883	2.108953624	-0.608574375	0.545061879	0.936796254	-5.696894957
ATP11B	0.031917123	-1.442141489	0.607349632	0.545868891	0.936796254	-5.697588092
COMP	-0.056770223	-5.193229284	-0.607145819	0.546003247	0.936796254	-5.697703305
SELL	0.062459303	-4.097653904	0.601060418	0.550022538	0.936796254	-5.701125716
C1S	0.029701443	2.356405064	0.599862947	0.5508152	0.936796254	-5.701795163
IGHA1	-0.100731549	5.926418008	-0.598001016	0.552048842	0.936796254	-5.702833457
LV211	0.111327349	-4.307588347	0.597444478	0.552417853	0.936796254	-5.703143188
A1BG	0.040551754	5.121915382	0.591646183	0.556269746	0.936796254	-5.706353184
APOH	0.066404341	3.896654832	0.590940436	0.556739499	0.936796254	-5.706741782
AHSG	0.048639936	4.968823482	0.588734359	0.558209165	0.936796254	-5.707953537
CPN2	-0.057005997	0.935582815	-0.582089079	0.562647829	0.936796254	-5.711576601
ORM1	-0.06666696	6.090337895	-0.580763188	0.563535532	0.936796254	-5.712294625
B2M	-0.061926263	-4.700420608	-0.575659227	0.566959152	0.936796254	-5.715043526
CPB2	0.0373955	0.208149869	0.575523771	0.567050152	0.936796254	-5.715116154
CAPZB	-0.085658094	-4.36183154	-0.575241038	0.567240116	0.936796254	-5.715267693
SERPINA5	0.282733714	-3.106831445	0.567473535	0.572471164	0.936796254	-5.719402111
APOE	0.070680772	4.434197045	0.56448462	0.574490294	0.936796254	-5.720978218
SH3GL3	0.14436896	-2.280779536	0.556670727	0.579785144	0.936796254	-5.725059734
MST1	0.084685036	-2.914879669	0.554612992	0.581183398	0.936796254	-5.726125213
HV333_2	-0.109631374	-2.267193087	-0.542431043	0.589494106	0.936796254	-5.732352959
SERPINF2	0.028652933	3.713020424	0.54023746	0.590996548	0.936796254	-5.733459836
F7	0.134436352	-4.914098098	0.538584887	0.592129628	0.936796254	-5.734290789
KVD33_3	0.069308602	-3.994700058	0.531663739	0.596886151	0.936796254	-5.737743528
HABP2	0.071796016	-1.08447485	0.530692085	0.597555338	0.936796254	-5.738224716
LV144	0.094408984	-1.9306018	0.528776251	0.598875815	0.936796254	-5.739170933
KV139	-0.084975463	-4.822440929	-0.528076722	0.599358299	0.936796254	-5.739515581
KRT17	-0.140012928	-3.147817828	-0.520596329	0.604528966	0.936796254	-5.743172814
ATRN.1	-0.038655768	-1.892384514	-0.513459595	0.609481119	0.936796254	-5.746613854
IGFALS	-0.066418803	2.23677574	-0.509166919	0.612468664	0.936796254	-5.748660941
APOL1	0.045804287	1.967565396	0.505894483	0.614750606	0.936796254	-5.750210057
HV270	0.186115116	-2.97189367	0.505873328	0.61476537	0.936796254	-5.750220039
HV313	-0.085867231	-0.651948633	-0.501018247	0.618158007	0.936796254	-5.75250002
F5	-0.051320479	-0.256342265	-0.494751386	0.622549524	0.936796254	-5.75541076
ALB	0.030479558	11.15973675	0.493402108	0.623496845	0.936796254	-5.756032701
CRISP3	-0.077397977	-3.329948505	-0.485470173	0.629078681	0.940503771	-5.759654825
ORM2	0.054242615	2.881800779	0.479602994	0.633221557	0.941683712	-5.762296619
IGLL5	-0.064564649	2.786430131	-0.467393506	0.641880571	0.941683712	-5.767691985
FGG	-0.039067601	7.976754914	-0.457812502	0.648710651	0.941683712	-5.771829147
CD5L	0.067621589	-0.428798912	0.456529202	0.649627806	0.941683712	-5.772376829
IGKC	-0.046892025	6.209354858	-0.43654738	0.663978	0.941683712	-5.78070765
SERPINC1	-0.02589648	4.963960661	-0.433164885	0.666419916	0.941683712	-5.782081237
AMBP	0.025366457	3.305436546	0.426910102	0.670944955	0.941683712	-5.784593261
HV330	-0.093515198	-3.29131827	-0.423513846	0.673407132	0.941683712	-5.785942046
PPBP	-0.086106341	-1.395224324	-0.410323485	0.683003564	0.941683712	-5.791078907
ZNF10	0.069570014	-4.50030339	0.406831092	0.685553294	0.941683712	-5.792411938
HBA1	-0.054147921	2.039962355	-0.401175463	0.689690143	0.941683712	-5.794546638
LCAT	0.02632857	-0.716909526	0.400446981	0.690223692	0.941683712	-5.794819442
KNG1	0.026834815	3.348420832	0.400296698	0.69033378	0.941683712	-5.794875659
IGHG4	-0.163259148	1.541848235	-0.39784586	0.692130067	0.941683712	-5.795789491
VWF	-0.099554694	0.409477499	-0.39031441	0.697661151	0.941683712	-5.798562777
C6	0.041599179	1.877999388	0.387738698	0.699556552	0.941683712	-5.799499128
F12	0.054264239	1.708192641	0.385314289	0.701342368	0.941683712	-5.800374841
SEPP1	0.041604895	-0.433229303	0.376164151	0.708097512	0.941683712	-5.803630702
ILK	0.034572172	-3.521072702	0.372924636	0.71049479	0.941683712	-5.804764745
SERPINA10	-0.049656335	-2.084265787	-0.371151029	0.711808526	0.941683712	-5.80538149
IGHG3	-0.062893497	-0.11447525	-0.370321743	0.712423091	0.941683712	-5.805668857
TAGLN2	-0.062445999	-4.816949973	-0.366585786	0.715194092	0.941683712	-5.806955524
HGFAC	0.048308064	-1.422047709	0.363404634	0.717556625	0.941683712	-5.808040879
HV434	-0.057230315	-3.098005095	-0.362826342	0.717986401	0.941683712	-5.808237171
SLFN11	-0.04453947	-2.24402448	-0.359363892	0.72056154	0.941683712	-5.809405937
APOC3	0.048127236	4.71834893	0.357205969	0.722168106	0.941683712	-5.81012871
FRMPD1	-0.042724322	-5.112762598	-0.353966205	0.724582454	0.941683712	-5.811205697
LV743	0.05760037	0.34982379	0.353639982	0.72482572	0.941683712	-5.811313601
LYZ	-0.04109359	-4.0277836	-0.352001705	0.726047816	0.941683712	-5.811853993
HV307	-0.046577881	-0.537597476	-0.34806287	0.728988969	0.941683712	-5.813143008
SERPINA4	0.035221815	0.570376784	0.343503635	0.732398485	0.941683712	-5.814617019
HV330_2	-0.074009581	-3.484550445	-0.341445536	0.733939366	0.941683712	-5.815276067
CFHR4	-0.075093848	-4.154625764	-0.340663503	0.734525156	0.941683712	-5.815525457
C1R	0.024291153	1.990251756	0.335173833	0.738641687	0.941683712	-5.817260077
KV310	0.075194131	-4.248820633	0.330943549	0.741819097	0.941683712	-5.818577609
AGT	0.033654765	3.371701669	0.330541121	0.742121601	0.941683712	-5.818702078
C7	-0.038600778	0.655636355	-0.322361531	0.74827896	0.945524042	-5.821199283
GC	0.019074583	5.834274403	0.307273835	0.759679539	0.949946055	-5.825641941
GAPDH	-0.071161332	-3.797921902	-0.305585425	0.760958726	0.949946055	-5.826125902
CTTNBP2	0.075230888	-3.963873575	0.30378677	0.762322175	0.949946055	-5.826638539
TLN1	0.061260885	-3.373332033	0.297199313	0.767322141	0.949946055	-5.828490282
CA1	-0.051768845	-2.682675362	-0.295507226	0.76860807	0.949946055	-5.828959398
KVD33_4	0.061672656	-1.026984942	0.292820015	0.770651601	0.949946055	-5.829698916
GP5	0.047797304	-3.651111244	0.288630323	0.773840968	0.949999888	-5.830838477
MYH9	0.053493593	-2.196364368	0.267332757	0.790113025	0.953598952	-5.836378014
IGHG1	-0.02926296	6.338563262	-0.262396994	0.79389783	0.953598952	-5.837601394
CFHR1	-0.057049255	-2.854676701	-0.260731538	0.795176051	0.953598952	-5.838009063
MYH7	-0.049792906	-3.923190763	-0.259607597	0.796038982	0.953598952	-5.838282717
HV348	0.030363018	-1.905993033	0.259607515	0.796039046	0.953598952	-5.838282737
KVD33	0.038378551	-2.721253589	0.249403079	0.803885312	0.953598952	-5.840713316
IGF2R	-0.048288711	-4.260848754	-0.24147244	0.809997299	0.953598952	-5.842535147
KV320.1	-0.047057881	-4.326818678	-0.240037467	0.811104486	0.953598952	-5.842858514
LV319	0.029367561	0.974476783	0.236427208	0.813891774	0.953598952	-5.843663567
C8A	-0.022289574	1.947064643	-0.233596234	0.816079111	0.953598952	-5.844286329
FGA	-0.017247139	9.166351587	-0.231327852	0.817832824	0.953598952	-5.844779929
FBLN1.1	-0.02990596	-2.808137623	-0.230469868	0.818496386	0.953598952	-5.844965372
FERMT3	-0.037518508	-4.574640557	-0.228613344	0.819932671	0.953598952	-5.845364286
SERPINA1	0.014186525	7.84038634	0.224781017	0.822899474	0.953598952	-5.846177557
TTN	-0.031406757	-1.992736941	-0.223183656	0.824136842	0.953598952	-5.846512486
KV311	-0.033517817	2.482908628	-0.215213305	0.830317575	0.957083617	-5.848148047
FBLN1	0.015529184	0.087637085	0.202939192	0.83985667	0.961921745	-5.850550638
ACAA2	-0.027987361	-3.649590104	-0.201617607	0.840885234	0.961921745	-5.850800933
TFRC	-0.023556328	-2.348477399	-0.194978372	0.846056601	0.964185258	-5.852033626
INPP5E	0.024203689	-3.202681763	0.186876712	0.85237626	0.967735453	-5.853482009
FGB	-0.013064137	8.944808643	-0.18012408	0.857651066	0.970077236	-5.854642314
C2	-0.008830507	2.195889928	-0.158501467	0.874584234	0.980113138	-5.858070761
LYVE1	-0.024185882	-3.847253117	-0.158496776	0.874587915	0.980113138	-5.858071458
TTR	0.023483749	-0.028790241	0.156365758	0.87626009	0.980113138	-5.858385659
FAM3C	0.017709223	-5.282648358	0.141355729	0.888053827	0.985210404	-5.860478381
VASN	-0.015903531	-2.580902427	-0.139827028	0.889256437	0.985210404	-5.860679684
ENO1	-0.018578697	0.421687094	-0.138114326	0.890604107	0.985210404	-5.860902619
PI16	-0.018217566	-4.447655502	-0.114316164	0.90936189	0.994011012	-5.863716153
RYR2	0.014848717	-2.27263004	0.114264704	0.90940251	0.994011012	-5.863721662
GP1BA	-0.013479485	-3.791895928	-0.110837957	0.912108025	0.994011012	-5.864082952
ITIH1	-0.006161604	4.292617985	-0.105662574	0.916196109	0.994011012	-5.864607761
FAM161B	0.010389268	-4.854614755	0.103226808	0.918120937	0.994011012	-5.86484608
CETP	-0.011775359	-4.341957902	-0.099576281	0.921006628	0.994011012	-5.86519285
GPLD1	0.011396035	0.463098792	0.09654609	0.923402763	0.994011012	-5.865471214
F9	0.010371605	-1.413995392	0.09451487	0.925009359	0.994011012	-5.865652996
PF4	0.020961372	-2.456882834	0.089516201	0.928964383	0.994011012	-5.86608389
PTPRC	-0.013376605	-4.181585812	-0.086345669	0.931473896	0.994011012	-5.866345067
LV325	0.012012656	2.104726728	0.076295523	0.939433193	0.998617174	-5.867110737
KV230	0.014898526	-0.214107189	0.072217	0.94266503	0.998617174	-5.867394473
IGHM.1	0.020717266	0.230171423	0.066155147	0.947470236	0.998617174	-5.867787396
AFG3L2	-0.008177282	-4.486038832	-0.062111709	0.950676553	0.998617174	-5.86803035
KV320_2	0.007120908	0.917455791	0.049446488	0.96072472	0.998617174	-5.868692231
LCP1	-0.010893492	-2.954760244	-0.049338213	0.960810652	0.998617174	-5.868697242
LV321	0.013467287	-1.405592181	0.04038609	0.967916961	0.998617174	-5.869073521
TGFBI	-0.007255293	-2.330024464	-0.037849499	0.969931039	0.998617174	-5.869166489
LBP	0.004031144	-1.616452284	0.033860537	0.973098706	0.998617174	-5.869300494
IGHG2	0.005491798	5.18926728	0.028930802	0.977014044	0.998617174	-5.869445507
CD14	-0.005032878	-1.059467422	-0.02886089	0.977069574	0.998617174	-5.869447399
MAP4	-0.003443948	-0.384188921	-0.02793047	0.977808609	0.998617174	-5.869472153
APOC1	-0.003045153	1.401813558	-0.021348781	0.983036978	0.998617174	-5.869624098
CFB	-0.001076272	4.91750772	-0.015427039	0.987741742	0.998617174	-5.869726122
GPX3	0.001347534	0.018347401	0.013659472	0.989146149	0.998617174	-5.869750207
ARHGAP19	-0.001644391	-5.026992341	-0.012213543	0.990295026	0.998617174	-5.869767733
HBD	-0.000963091	-3.017670262	-0.006765644	0.994623874	0.998617174	-5.869816172
CLEC3B	-0.00044797	-0.988169315	-0.003934213	0.996873774	0.998617174	-5.869830365
RBP4	0.000177183	1.723489924	0.00174022	0.998617174	0.998617174	-5.869836198
